source,dest,prompts,seed_train,seeds,source id,dest id
king crab,ant,"['An image of {}', 'A photo of {}', '{}']",9517,"[90839, '97271', 46373]",121,310
hermit crab,tarantula,"['An image of {}', 'A photo of {}', '{}']",1203,"['75007', '41732', '69323']",125,76
isopod,American lobster,"['An image of {}', 'A photo of {}', '{}']",1133,"['74222', '35991', '89141']",126,122
white stork,ostrich,"['An image of {}', 'A photo of {}', '{}']",2302,"['5018', '84162', '28940']",127,9
black stork,redshank,"['An image of {}', 'A photo of {}', '{}']",6356,"[8603, '47385', '60712']",128,141
flamingo,strawberry,"['An image of {}', 'A photo of {}', '{}']",7865,"['95503', '80681', '35581']",130,949
American egret,red-backed sandpiper,"['An image of {}', 'A photo of {}', '{}']",3329,"['83531', '32528', '60579']",132,140
bittern,red-breasted merganser,"['An image of {}', 'A photo of {}', '{}']",9872,"['73706', '61599', '17914']",133,98
limpkin,jacamar,"['An image of {}', 'A photo of {}', '{}']",2990,"['36769', '87550', 56024]",135,95
bustard,red-backed sandpiper,"['An image of {}', 'A photo of {}', '{}']",8722,"['63481', '8753', 75667]",138,140
ruddy turnstone,red-breasted merganser,"['An image of {}', 'A photo of {}', '{}']",3467,"['99339', '37942', 91601]",139,98
dowitcher,house finch,"['An image of {}', 'A photo of {}', '{}']",4764,"['88296', '9423', '32075']",142,12
killer whale,grey whale,"['An image of {}', 'A photo of {}', '{}']",4416,"['91417', '60584', '65653']",148,147
dugong,grey whale,"['An image of {}', 'A photo of {}', '{}']",1951,"['81307', '17174', '88407']",149,147
Chihuahua,guacamole,"['An image of {}', 'A photo of {}', '{}']",9425,"['43532', '91871', '8507']",151,924
papillon,fly,"['An image of {}', 'A photo of {}', '{}']",919,"['97653', '76888', '50939']",157,308
beagle,English foxhound,"['An image of {}', 'A photo of {}', '{}']",6128,"['66424', '69228', '53662']",162,167
borzoi,Great Pyrenees,"['An image of {}', 'A photo of {}', '{}']",7778,"[52944, 70472, 66964]",169,257
Irish wolfhound,standard schnauzer,"['An image of {}', 'A photo of {}', '{}']",2515,"['48576', '70204', '54702']",170,198
Ibizan hound,Scottish deerhound,"['An image of {}', 'A photo of {}', '{}']",4816,"['48662', '25378', '52508']",173,177
Norwegian elkhound,Scottish deerhound,"['An image of {}', 'A photo of {}', '{}']",1438,"[61323, '24418', '8712']",174,177
Saluki,Weimaraner,"['An image of {}', 'A photo of {}', '{}']",8269,"['10752', '24463', '60109']",176,178
Staffordshire bullterrier,French bulldog,"['An image of {}', 'A photo of {}', '{}']",6650,"['54708', '40718', '16921']",179,245
American Staffordshire terrier,French bulldog,"['An image of {}', 'A photo of {}', '{}']",5151,"['40981', '90168', 85350]",180,245
Bedlington terrier,Sealyham terrier,"['An image of {}', 'A photo of {}', '{}']",4527,"['4580', '35394', '85348']",181,190
Border terrier,bull mastiff,"['An image of {}', 'A photo of {}', '{}']",5225,"['25858', 48336, '66983']",182,243
Irish terrier,Kerry blue terrier,"['An image of {}', 'A photo of {}', '{}']",4642,"['7282', '18585', 88012]",184,183
Norwich terrier,Sealyham terrier,"['An image of {}', 'A photo of {}', '{}']",2210,"[17198, '81528', '20919']",186,190
wire-haired fox terrier,standard schnauzer,"['An image of {}', 'A photo of {}', '{}']",2608,"['93751', '52693', '58203']",188,198
giant schnauzer,Scottish deerhound,"['An image of {}', 'A photo of {}', '{}']",7192,"['60756', 90416, 79018]",197,177
Tibetan terrier,otterhound,"['An image of {}', 'A photo of {}', '{}']",1271,"['13886', '84183', '44576']",200,175
West Highland white terrier,Maltese dog,"['An image of {}', 'A photo of {}', '{}']",5851,"['18534', '14124', '92130']",203,153
curly-coated retriever,Gordon setter,"['An image of {}', 'A photo of {}', '{}']",9161,"['13765', 22524, 77735]",206,214
golden retriever,collie,"['An image of {}', 'A photo of {}', '{}']",3720,"['13877', '72496', 41358]",207,231
Labrador retriever,Maltese dog,"['An image of {}', 'A photo of {}', '{}']",2370,"[31872, '23326', 62308]",208,153
Chesapeake Bay retriever,Rhodesian ridgeback,"['An image of {}', 'A photo of {}', '{}']",8354,"[54057, 48283, 45723]",209,159
Irish setter,Afghan hound,"['An image of {}', 'A photo of {}', '{}']",5684,"['79796', '2543', 46001]",213,160
Brittany spaniel,English setter,"['An image of {}', 'A photo of {}', '{}']",9130,"['62459', '13320', 27240]",215,212
Sussex spaniel,Irish water spaniel,"['An image of {}', 'A photo of {}', '{}']",1926,"['37653', '90500', '96234']",220,221
kuvasz,dalmatian,"['An image of {}', 'A photo of {}', '{}']",339,"[21891, 82269, '97730']",222,251
groenendael,black swan,"['An image of {}', 'A photo of {}', '{}']",4481,"[54979, '18101', 64004]",224,100
briard,Airedale,"['An image of {}', 'A photo of {}', '{}']",2931,"['41498', '68000', 72741]",226,191
Border collie,flat-coated retriever,"['An image of {}', 'A photo of {}', '{}']",22,"['23985', '24115', '96742']",232,205
German shepherd,French bulldog,"['An image of {}', 'A photo of {}', '{}']",4610,"['73476', '43329', '73356']",235,245
Tibetan mastiff,Great Pyrenees,"['An image of {}', 'A photo of {}', '{}']",2338,"['21672', '8993', '47687']",244,257
Great Dane,dalmatian,"['An image of {}', 'A photo of {}', '{}']",3281,"['24333', '56878', '68061']",246,251
malamute,Shih-Tzu,"['An image of {}', 'A photo of {}', '{}']",2769,"['15049', '3375', 69799]",249,155
affenpinscher,standard schnauzer,"['An image of {}', 'A photo of {}', '{}']",4117,"['88575', '54179', '72437']",252,198
basenji,Doberman,"['An image of {}', 'A photo of {}', '{}']",7117,"['68415', 75960, '32146']",253,236
pug,snail,"['An image of {}', 'A photo of {}', '{}']",8355,"['49802', '18847', '57233']",254,113
Samoyed,keeshond,"['An image of {}', 'A photo of {}', '{}']",1543,"['85878', '98663', '13283']",258,261
miniature poodle,Kerry blue terrier,"['An image of {}', 'A photo of {}', '{}']",6951,"[77964, '66229', '25479']",266,183
Mexican hairless,Scottish deerhound,"['An image of {}', 'A photo of {}', '{}']",8018,"['45263', 8575, '54082']",268,177
timber wolf,tiger,"['An image of {}', 'A photo of {}', '{}']",7022,"['14428', '42592', '89838']",269,292
white wolf,badger,"['An image of {}', 'A photo of {}', '{}']",1442,"['60106', '18432', '34066']",270,362
red fox,brown bear,"['An image of {}', 'A photo of {}', '{}']",5148,"['40123', '2359', '27220']",277,294
Arctic fox,marmot,"['An image of {}', 'A photo of {}', '{}']",5436,"['42731', '51092', 11437]",279,336
grey fox,dingo,"['An image of {}', 'A photo of {}', '{}']",1919,"['31833', '6969', 96232]",280,273
Persian cat,Maltese dog,"['An image of {}', 'A photo of {}', '{}']",1111,"['59136', '32342', '117']",283,153
lynx,cheetah,"['An image of {}', 'A photo of {}', '{}']",7961,"['65406', '77779', '85630']",287,293
leopard,brown bear,"['An image of {}', 'A photo of {}', '{}']",7817,"['95023', '56244', '9397']",288,294
snow leopard,giant panda,"['An image of {}', 'A photo of {}', '{}']",8021,"['57245', '98192', '97102']",289,388
lion,coyote,"['An image of {}', 'A photo of {}', '{}']",1247,"['33562', '3312', '32693']",291,272
ice bear,Eskimo dog,"['An image of {}', 'A photo of {}', '{}']",9247,"['80553', '21186', '80241']",296,248
mongoose,cougar,"['An image of {}', 'A photo of {}', '{}']",9487,"['18703', '62321', 50685]",298,286
long-horned beetle,dragonfly,"['An image of {}', 'A photo of {}', '{}']",4039,"[20626, '94619', '97189']",303,319
leaf beetle,lacewing,"['An image of {}', 'A photo of {}', '{}']",458,"[65366, '56725', '23874']",304,318
mantis,snail,"['An image of {}', 'A photo of {}', '{}']",7032,"[55129, '92838', '9296']",315,113
cabbage butterfly,cucumber,"['An image of {}', 'A photo of {}', '{}']",9783,"['71992', '3057', '14049']",324,943
sulphur butterfly,damselfly,"['An image of {}', 'A photo of {}', '{}']",9622,"['80379', '83963', 49862]",325,320
sea urchin,seashore,"['An image of {}', 'A photo of {}', '{}']",3291,"[89202, '95732', 36513]",328,978
hare,meerkat,"['An image of {}', 'A photo of {}', '{}']",5758,"['57391', '56030', '40623']",331,299
Angora,koala,"['An image of {}', 'A photo of {}', '{}']",569,"['19168', 58503, '4754']",332,105
hamster,goldfish,"['An image of {}', 'A photo of {}', '{}']",3169,"['19348', '43887', '64929']",333,1
porcupine,marmot,"['An image of {}', 'A photo of {}', '{}']",1605,"['46106', '31428', '82559']",334,336
fox squirrel,kit fox,"['An image of {}', 'A photo of {}', '{}']",1144,"[73654, 31480, '40792']",335,278
guinea pig,snail,"['An image of {}', 'A photo of {}', '{}']",4390,"['73835', '27050', '10178']",338,113
wild boar,American black bear,"['An image of {}', 'A photo of {}', '{}']",2933,"['17288', '72424', '43045']",342,295
hippopotamus,hyena,"['An image of {}', 'A photo of {}', '{}']",4540,"['90868', '68863', 17061]",344,276
water buffalo,submarine,"['An image of {}', 'A photo of {}', '{}']",3404,"[20678, 56304, '43576']",346,833
bison,ostrich,"['An image of {}', 'A photo of {}', '{}']",9834,"['75824', '85762', 70553]",347,9
tench,badger,"['An image of {}', 'A photo of {}', '{}']",703,"['98167', 56659, '21982']",0,362
Arabian camel,meerkat,"['An image of {}', 'A photo of {}', '{}']",4811,"['79688', '13312', '87689']",354,299
weasel,whippet,"['An image of {}', 'A photo of {}', '{}']",790,"['16041', 54344, '73553']",356,172
polecat,skunk,"['An image of {}', 'A photo of {}', '{}']",6233,"['28773', 96799, 81985]",358,361
black-footed ferret,marmot,"['An image of {}', 'A photo of {}', '{}']",6057,"['76875', '8265', '25482']",359,336
otter,marmot,"['An image of {}', 'A photo of {}', '{}']",6581,"['91833', 38219, '79196']",360,336
armadillo,badger,"['An image of {}', 'A photo of {}', '{}']",451,"['33964', '22198', '11411']",363,362
chimpanzee,brown bear,"['An image of {}', 'A photo of {}', '{}']",9673,"['82440', '95918', '12526']",367,294
baboon,sea lion,"['An image of {}', 'A photo of {}', '{}']",5461,"['39749', '53107', 87016]",372,150
macaque,koala,"['An image of {}', 'A photo of {}', '{}']",4104,"['71648', 11857, '38314']",373,105
langur,hornbill,"['An image of {}', 'A photo of {}', '{}']",1984,"[25700, 49712, '19532']",374,93
proboscis monkey,spoonbill,"['An image of {}', 'A photo of {}', '{}']",5639,"['672', 44621, '93842']",376,129
African elephant,tusker,"['An image of {}', 'A photo of {}', '{}']",9599,"['4273', '26821', '79549']",386,101
rock beauty,fly,"['An image of {}', 'A photo of {}', '{}']",8391,"['78888', '84968', '22533']",392,308
lionfish,zebra,"['An image of {}', 'A photo of {}', '{}']",2007,"['38399', '41970', '49241']",396,340
abacus,cucumber,"['An image of {}', 'A photo of {}', '{}']",4552,"[47178, '81490', '23731']",398,943
abaya,lab coat,"['An image of {}', 'A photo of {}', '{}']",4623,"[23415, 27932, '73993']",399,617
academic gown,military uniform,"['An image of {}', 'A photo of {}', '{}']",656,"[98116, 55252, 61008]",400,652
ambulance,airliner,"['An image of {}', 'A photo of {}', '{}']",3612,"['55840', 21681, 80643]",407,404
analog clock,electric fan,"['An image of {}', 'A photo of {}', '{}']",8482,"[85685, '69995', 43068]",409,545
apiary,library,"['An image of {}', 'A photo of {}', '{}']",3447,"['16538', 1441, '30397']",410,624
bakery,pizza,"['An image of {}', 'A photo of {}', '{}']",5899,"[45759, 1515, '9190']",415,963
balloon,candle,"['An image of {}', 'A photo of {}', '{}']",4685,"['59727', 39218, 89173]",417,470
ballpoint,vacuum,"['An image of {}', 'A photo of {}', '{}']",2509,"[23335, '76888', 58034]",418,882
barber chair,golfcart,"['An image of {}', 'A photo of {}', '{}']",2577,"['3178', '92452', 45722]",423,575
barn,birdhouse,"['An image of {}', 'A photo of {}', '{}']",8835,"['63162', 39135, '65934']",425,448
barometer,stethoscope,"['An image of {}', 'A photo of {}', '{}']",1411,"['71080', '99895', 60500]",426,823
barrel,tank,"['An image of {}', 'A photo of {}', '{}']",1316,"['86995', '29547', '86084']",427,847
baseball,soccer ball,"['An image of {}', 'A photo of {}', '{}']",2251,"[31629, '55475', '18373']",429,805
beer glass,candle,"['An image of {}', 'A photo of {}', '{}']",3663,"['34889', '41534', '40029']",441,470
bicycle-built-for-two,moped,"['An image of {}', 'A photo of {}', '{}']",2024,"['39843', 12853, 29271]",444,665
bobsled,submarine,"['An image of {}', 'A photo of {}', '{}']",8974,"[5292, '5346', '88087']",450,833
cannon,candle,"['An image of {}', 'A photo of {}', '{}']",4916,"['61160', '76697', 69962]",471,470
cash machine,washer,"['An image of {}', 'A photo of {}', '{}']",9687,"[69751, 8886, 93657]",480,897
cassette,computer keyboard,"['An image of {}', 'A photo of {}', '{}']",3761,"['61220', 59642, '15203']",481,508
castle,bell cote,"['An image of {}', 'A photo of {}', '{}']",783,"['77714', '19470', 49535]",483,442
cliff dwelling,recreational vehicle,"['An image of {}', 'A photo of {}', '{}']",9871,"[94877, 95730, '93051']",500,757
clog,holster,"['An image of {}', 'A photo of {}', '{}']",9764,"['36615', '96828', '68790']",502,597
cocktail shaker,candle,"['An image of {}', 'A photo of {}', '{}']",2287,"[63542, '1186', '6037']",503,470
coffeepot,sewing machine,"['An image of {}', 'A photo of {}', '{}']",5147,"[78495, '22635', '12325']",505,786
convertible,canoe,"['An image of {}', 'A photo of {}', '{}']",7761,"[44837, '6581', '36979']",511,472
crash helmet,moped,"['An image of {}', 'A photo of {}', '{}']",6977,"['18113', '71987', '2929']",518,665
crib,harp,"['An image of {}', 'A photo of {}', '{}']",4478,"['5380', '97995', 20602]",520,594
dam,library,"['An image of {}', 'A photo of {}', '{}']",7832,"['86678', '62534', '1784']",525,624
dial telephone,magnetic compass,"['An image of {}', 'A photo of {}', '{}']",1782,"['95375', '27249', '26606']",528,635
dining table,patio,"['An image of {}', 'A photo of {}', '{}']",9452,"['18251', 76555, '43981']",532,706
dogsled,snowplow,"['An image of {}', 'A photo of {}', '{}']",3420,"[12329, '45167', '92613']",537,803
dome,bubble,"['An image of {}', 'A photo of {}', '{}']",654,"['33950', '49412', 45431]",538,971
doormat,quilt,"['An image of {}', 'A photo of {}', '{}']",8833,"['77974', '94591', 94890]",539,750
drilling platform,steam locomotive,"['An image of {}', 'A photo of {}', '{}']",6482,"['76284', '3145', '51515']",540,820
drum,rifle,"['An image of {}', 'A photo of {}', '{}']",2754,"[42694, '83295', 38050]",541,764
dumbbell,rifle,"['An image of {}', 'A photo of {}', '{}']",1313,"['41967', '66561', 92551]",543,764
electric guitar,rifle,"['An image of {}', 'A photo of {}', '{}']",759,"['7377', 17842, '8897']",546,764
envelope,cup,"['An image of {}', 'A photo of {}', '{}']",7841,"[61581, '73121', '64576']",549,968
face powder,confectionery,"['An image of {}', 'A photo of {}', '{}']",2195,"['48905', '70695', '44855']",551,509
flagpole,obelisk,"['An image of {}', 'A photo of {}', '{}']",7018,"['44851', '12484', 89847]",557,682
folding chair,backpack,"['An image of {}', 'A photo of {}', '{}']",9337,"['78424', '33410', '20209']",559,414
football helmet,gasmask,"['An image of {}', 'A photo of {}', '{}']",5308,"['63069', '29182', '74223']",560,570
forklift,snowmobile,"['An image of {}', 'A photo of {}', '{}']",6068,"['67861', '98930', '93677']",561,802
fountain pen,typewriter keyboard,"['An image of {}', 'A photo of {}', '{}']",4033,"[33411, 79757, '28240']",563,878
French horn,accordion,"['An image of {}', 'A photo of {}', '{}']",3133,"['65541', '33170', '71598']",566,401
go-kart,snowmobile,"['An image of {}', 'A photo of {}', '{}']",1933,"['11552', '25947', '79374']",573,802
golf ball,wool,"['An image of {}', 'A photo of {}', '{}']",561,"['47562', '88611', '65453']",574,911
grand piano,park bench,"['An image of {}', 'A photo of {}', '{}']",8268,"['26630', 82222, 70392]",579,703
grille,hamper,"['An image of {}', 'A photo of {}', '{}']",6242,"[60583, 35021, 79303]",581,588
grocery store,bookcase,"['An image of {}', 'A photo of {}', '{}']",1386,"[59395, '44988', '52584']",582,453
hair slide,shower cap,"['An image of {}', 'A photo of {}', '{}']",6541,"[68344, '2128', '19281']",584,793
hair spray,power drill,"['An image of {}', 'A photo of {}', '{}']",7365,"[24441, '42917', '4803']",585,740
hard disc,car wheel,"['An image of {}', 'A photo of {}', '{}']",2910,"['6073', 40596, 83952]",592,479
harvester,toaster,"['An image of {}', 'A photo of {}', '{}']",3905,"['38540', '24784', '90611']",595,859
honeycomb,tiger,"['An image of {}', 'A photo of {}', '{}']",3560,"[56604, '86355', 2757]",599,292
hourglass,pedestal,"['An image of {}', 'A photo of {}', '{}']",1558,"['32231', '99474', 80637]",604,708
iPod,bubble,"['An image of {}', 'A photo of {}', '{}']",7475,"[55404, '26763', '6702']",605,971
kimono,vestment,"['An image of {}', 'A photo of {}', '{}']",679,"['40875', '16377', 19848]",614,887
lens cap,pill bottle,"['An image of {}', 'A photo of {}', '{}']",436,"['42002', '68721', '5158']",622,720
lifeboat,bucket,"['An image of {}', 'A photo of {}', '{}']",5270,"[46818, '60888', 32330]",625,463
lipstick,sunglasses,"['An image of {}', 'A photo of {}', '{}']",5856,"['77620', '90012', '69853']",629,837
lotion,dough,"['An image of {}', 'A photo of {}', '{}']",8091,"['9129', 75171, 63797]",631,961
lumbermill,fireboat,"['An image of {}', 'A photo of {}', '{}']",6980,"[71161, '95702', 89681]",634,554
mask,plate,"['An image of {}', 'A photo of {}', '{}']",8642,"['16302', 49415, '16971']",643,923
maypole,pedestal,"['An image of {}', 'A photo of {}', '{}']",930,"[3412, '64797', 23788]",645,708
microphone,joystick,"['An image of {}', 'A photo of {}', '{}']",9028,"['5168', '13768', '92018']",650,613
minibus,fire engine,"['An image of {}', 'A photo of {}', '{}']",3461,"['6237', '60492', '64298']",654,555
minivan,canoe,"['An image of {}', 'A photo of {}', '{}']",6540,"[15972, '23185', 53282]",656,472
mixing bowl,cup,"['An image of {}', 'A photo of {}', '{}']",6522,"['46815', '61294', 37008]",659,968
mosque,library,"['An image of {}', 'A photo of {}', '{}']",9444,"['57129', 99037, '17535']",668,624
mosquito net,greenhouse,"['An image of {}', 'A photo of {}', '{}']",8072,"[65073, '28665', '37165']",669,580
mountain bike,airliner,"['An image of {}', 'A photo of {}', '{}']",6340,"['81869', '45524', '31536']",671,404
mountain tent,monastery,"['An image of {}', 'A photo of {}', '{}']",9467,"['17248', '1445', 61256]",672,663
neck brace,bucket,"['An image of {}', 'A photo of {}', '{}']",4846,"['57027', 72225, 58072]",678,463
parking meter,water bottle,"['An image of {}', 'A photo of {}', '{}']",4300,"[18073, 42282, 83702]",704,898
pencil sharpener,sewing machine,"['An image of {}', 'A photo of {}', '{}']",2352,"[50192, 87164, '70540']",710,786
piggy bank,cup,"['An image of {}', 'A photo of {}', '{}']",1990,"[98592, '44321', '81721']",719,968
ping-pong ball,pool table,"['An image of {}', 'A photo of {}', '{}']",9319,"[59712, '7938', '65240']",722,736
pitcher,cup,"['An image of {}', 'A photo of {}', '{}']",5093,"[19923, 5000, 21124]",725,968
plastic bag,pillow,"['An image of {}', 'A photo of {}', '{}']",2255,"[62843, '17503', '99433']",728,721
Polaroid camera,birdhouse,"['An image of {}', 'A photo of {}', '{}']",8447,"[54010, '82019', 46123]",732,448
prayer rug,sleeping bag,"['An image of {}', 'A photo of {}', '{}']",3842,"['35403', 58983, '21940']",741,797
printer,refrigerator,"['An image of {}', 'A photo of {}', '{}']",7206,"['25891', 88161, 55123]",742,760
punching bag,swing,"['An image of {}', 'A photo of {}', '{}']",4336,"['90356', '25260', '62925']",747,843
radiator,bath towel,"['An image of {}', 'A photo of {}', '{}']",7270,"['40551', '57836', '90506']",753,434
rain barrel,water bottle,"['An image of {}', 'A photo of {}', '{}']",5342,"['68331', 60570, '31453']",756,898
restaurant,palace,"['An image of {}', 'A photo of {}', '{}']",9566,"['34604', 80480, 16651]",762,698
rocking chair,bookcase,"['An image of {}', 'A photo of {}', '{}']",1035,"['88805', '92731', '2282']",765,453
rubber eraser,bubble,"['An image of {}', 'A photo of {}', '{}']",8635,"['56469', 25549, '40612']",767,971
rugby ball,water bottle,"['An image of {}', 'A photo of {}', '{}']",7030,"['83733', 6386, 40744]",768,898
running shoe,soccer ball,"['An image of {}', 'A photo of {}', '{}']",4196,"['86742', 2852, '72523']",770,805
sarong,quilt,"['An image of {}', 'A photo of {}', '{}']",191,"['91355', '74395', 73745]",775,750
sax,violin,"['An image of {}', 'A photo of {}', '{}']",1931,"['12065', '82184', '27777']",776,889
scoreboard,organ,"['An image of {}', 'A photo of {}', '{}']",4723,"[76232, 53098, 80765]",781,687
seat belt,park bench,"['An image of {}', 'A photo of {}', '{}']",102,"[80184, '5712', '68517']",785,703
shield,bubble,"['An image of {}', 'A photo of {}', '{}']",9202,"['97252', '18407', '8597']",787,971
shopping basket,cup,"['An image of {}', 'A photo of {}', '{}']",1403,"['92369', '49948', '81167']",790,968
slide rule,magnetic compass,"['An image of {}', 'A photo of {}', '{}']",8709,"['28435', '18021', '66963']",798,635
soap dispenser,shower curtain,"['An image of {}', 'A photo of {}', '{}']",3769,"['47858', '89507', '37383']",804,794
sock,burrito,"['An image of {}', 'A photo of {}', '{}']",1180,"['87357', '77099', 74670]",806,965
spatula,paintbrush,"['An image of {}', 'A photo of {}', '{}']",3785,"['24749', 48722, '57240']",813,696
speedboat,fireboat,"['An image of {}', 'A photo of {}', '{}']",1924,"[90793, '94178', '77887']",814,554
spider web,wool,"['An image of {}', 'A photo of {}', '{}']",4166,"['11000', '42451', '36502']",815,911
sports car,jeep,"['An image of {}', 'A photo of {}', '{}']",9608,"[85967, '27355', 45130]",817,609
steel arch bridge,padlock,"['An image of {}', 'A photo of {}', '{}']",5330,"['40501', '35998', '24464']",821,695
stone wall,fountain,"['An image of {}', 'A photo of {}', '{}']",8872,"['38177', '19675', '60753']",825,562
stove,wok,"['An image of {}', 'A photo of {}', '{}']",9607,"[69742, '99955', '1855']",827,909
streetcar,fire engine,"['An image of {}', 'A photo of {}', '{}']",6561,"['37780', '60903', '45485']",829,555
studio couch,pool table,"['An image of {}', 'A photo of {}', '{}']",2821,"[14794, '93923', '65522']",831,736
stupa,pedestal,"['An image of {}', 'A photo of {}', '{}']",9015,"[91388, '27041', '7991']",832,708
suspension bridge,swing,"['An image of {}', 'A photo of {}', '{}']",5766,"['93823', 44256, '31245']",839,843
sweatshirt,hamper,"['An image of {}', 'A photo of {}', '{}']",1005,"[73886, 69339, '62414']",841,588
table lamp,torch,"['An image of {}', 'A photo of {}', '{}']",9474,"[64558, '85112', '24878']",846,862
teddy,cheeseburger,"['An image of {}', 'A photo of {}', '{}']",5587,"['49274', 79839, '89493']",850,933
tennis ball,head cabbage,"['An image of {}', 'A photo of {}', '{}']",4845,"[92121, '2546', '78922']",852,936
thatch,ant,"['An image of {}', 'A photo of {}', '{}']",1528,"['24195', '46416', '79404']",853,310
thimble,hamper,"['An image of {}', 'A photo of {}', '{}']",6407,"['36082', '70825', '12484']",855,588
throne,pedestal,"['An image of {}', 'A photo of {}', '{}']",307,"['89171', '54446', 31886]",857,708
tile roof,quilt,"['An image of {}', 'A photo of {}', '{}']",8478,"['17380', '39957', '17202']",858,750
tobacco shop,medicine chest,"['An image of {}', 'A photo of {}', '{}']",42,"[45183, 89100, 86190]",860,648
totem pole,birdhouse,"['An image of {}', 'A photo of {}', '{}']",7319,"['97746', '47878', '68784']",863,448
tractor,fire engine,"['An image of {}', 'A photo of {}', '{}']",2104,"['85934', '18152', '67424']",866,555
tricycle,moped,"['An image of {}', 'A photo of {}', '{}']",6253,"['26358', '50654', 63159]",870,665
trolleybus,fire engine,"['An image of {}', 'A photo of {}', '{}']",9180,"['52418', '42277', 62032]",874,555
unicycle,moped,"['An image of {}', 'A photo of {}', '{}']",4413,"['49295', '28446', '62009']",880,665
vase,pedestal,"['An image of {}', 'A photo of {}', '{}']",7367,"['70636', '18648', 47990]",883,708
wall clock,water tower,"['An image of {}', 'A photo of {}', '{}']",1491,"['16381', '13469', '14015']",892,900
wallet,switch,"['An image of {}', 'A photo of {}', '{}']",1882,"['56838', '39830', 18913]",893,844
