source,dest,prompts,seed_train,seeds,source id,dest id
Nasalis larvatus,proboscis monkey,"['An image of {}', 'A photo of {}', '{}']",6522,"['672', 44621, '93842']",376,376
indris,Indri brevicaudatus,"['An image of {}', 'A photo of {}', '{}']",5093,[],384,384
bear cat,red panda,"['An image of {}', 'A photo of {}', '{}']",3842,"['94137', '47926', '4155']",387,387
cat bear,red panda,"['An image of {}', 'A photo of {}', '{}']",7206,"['94137', '47926', '4155']",387,387
coon bear,panda,"['An image of {}', 'A photo of {}', '{}']",4336,"['84834', '86769', '67919']",388,388
Ailuropoda melanoleuca,panda,"['An image of {}', 'A photo of {}', '{}']",7270,"['84834', '86769', '67919']",388,388
cohoe,coho salmon,"['An image of {}', 'A photo of {}', '{}']",5342,[],391,391
blue jack,coho salmon,"['An image of {}', 'A photo of {}', '{}']",9566,[],391,391
flattop,aircraft carrier,"['An image of {}', 'A photo of {}', '{}']",4196,"['98914', '96810', '94995']",403,403
amphibian,amphibious vehicle,"['An image of {}', 'A photo of {}', '{}']",191,[],408,408
bee house,apiary,"['An image of {}', 'A photo of {}', '{}']",1931,"['16538', 1441, '30397']",410,410
ashcan,trash can,"['An image of {}', 'A photo of {}', '{}']",4723,[],412,412
ashbin,trash can,"['An image of {}', 'A photo of {}', '{}']",102,[],412,412
bannister,handrail,"['An image of {}', 'A photo of {}', '{}']",8709,[],421,421
barrow,wheelbarrow,"['An image of {}', 'A photo of {}', '{}']",3769,[],428,428
bath,tub,"['An image of {}', 'A photo of {}', '{}']",1180,[],435,435
beach wagon,station wagon,"['An image of {}', 'A photo of {}', '{}']",3785,[],436,436
beach waggon,station wagon,"['An image of {}', 'A photo of {}', '{}']",4166,[],436,436
station waggon,station wagon,"['An image of {}', 'A photo of {}', '{}']",9608,[],436,436
waggon,station wagon,"['An image of {}', 'A photo of {}', '{}']",5330,[],436,436
pharos,lighthouse,"['An image of {}', 'A photo of {}', '{}']",8872,[],437,437
field glasses,binoculars,"['An image of {}', 'A photo of {}', '{}']",1005,"['15007', '48325', '6322']",447,447
bob,bobsled,"['An image of {}', 'A photo of {}', '{}']",9474,"[5292, '5346', '88087']",450,450
brass,plaque,"['An image of {}', 'A photo of {}', '{}']",42,[],458,458
bullet,bullet train,"['An image of {}', 'A photo of {}', '{}']",1491,"['99105', '95722', '7296']",466,466
hack,taxicab,"['An image of {}', 'A photo of {}', '{}']",1882,[],468,468
taper,candle,"['An image of {}', 'A photo of {}', '{}']",1255,"['66080', '78280', 58440]",470,470
roundabout,carousel,"['An image of {}', 'A photo of {}', '{}']",9070,"['89394', '22829', 56891]",476,476
whirligig,carousel,"['An image of {}', 'A photo of {}', '{}']",9605,"['89394', '22829', 56891]",476,476
china closet,china cabinet,"['An image of {}', 'A photo of {}', '{}']",3384,"['13616', '39575', 17970]",495,495
chopper,meat cleaver,"['An image of {}', 'A photo of {}', '{}']",5682,[],499,499
patten,clog,"['An image of {}', 'A photo of {}', '{}']",4593,"['36615', '96828', '68790']",502,502
sabot,clog,"['An image of {}', 'A photo of {}', '{}']",5905,"['36615', '96828', '68790']",502,502
keypad,computer keyboard,"['An image of {}', 'A photo of {}', '{}']",2419,"[81263, 24798, '39098']",508,508
trump,trumpet,"['An image of {}', 'A photo of {}', '{}']",8120,[],513,513
dyke,dam,"['An image of {}', 'A photo of {}', '{}']",9419,"['86678', '62534', '1784']",525,525
nappy,diaper,"['An image of {}', 'A photo of {}', '{}']",4598,"['35596', 56232, 65998]",529,529
napkin,diaper,"['An image of {}', 'A photo of {}', '{}']",7102,"['35596', 56232, 65998]",529,529
board,dining table,"['An image of {}', 'A photo of {}', '{}']",8929,"['18251', 76555, '43981']",532,532
docking facility,dockage,"['An image of {}', 'A photo of {}', '{}']",8321,[],536,536
blower,electric fan,"['An image of {}', 'A photo of {}', '{}']",2465,"['5819', 49357, 9690]",545,545
boa,feather boa,"['An image of {}', 'A photo of {}', '{}']",8524,[],552,552
flagstaff,flagpole,"['An image of {}', 'A photo of {}', '{}']",7591,"['44851', '12484', 89847]",557,557
skillet,frying pan,"['An image of {}', 'A photo of {}', '{}']",575,[],567,567
island dispenser,gas pump,"['An image of {}', 'A photo of {}', '{}']",6163,"['73050', 9402, '80128']",571,571
grand,grand piano,"['An image of {}', 'A photo of {}', '{}']",2188,"['26630', 82222, 70392]",579,579
nursery,glasshouse,"['An image of {}', 'A photo of {}', '{}']",4197,"['73258', '48803', '59714']",580,580
jersey,tee shirt,"['An image of {}', 'A photo of {}', '{}']",7680,[],610,610
light,lighter,"['An image of {}', 'A photo of {}', '{}']",5607,[],626,626
liner,ocean liner,"['An image of {}', 'A photo of {}', '{}']",8385,[],628,628
mike,microphone,"['An image of {}', 'A photo of {}', '{}']",5609,"['5168', '13768', '92018']",650,650
mini,miniskirt,"['An image of {}', 'A photo of {}', '{}']",8871,"[48522, '70835', 84780]",655,655
off-roader,mountain bike,"['An image of {}', 'A photo of {}', '{}']",2379,"['81869', '45524', '31536']",671,671
mouse,computer mouse,"['An image of {}', 'A photo of {}', '{}']",4017,[],673,673
scope,cathode-ray oscilloscope,"['An image of {}', 'A photo of {}', '{}']",2523,"['31063', '71170', '12780']",688,688
CRO,cathode-ray oscilloscope,"['An image of {}', 'A photo of {}', '{}']",7895,"['31063', '71170', '12780']",688,688
pj's,pajama,"['An image of {}', 'A photo of {}', '{}']",2711,"['45609', '26081', 33619]",697,697
footstall,plinth,"['An image of {}', 'A photo of {}', '{}']",6942,"[99324, '37028', '89483']",708,708
essence,perfume,"['An image of {}', 'A photo of {}', '{}']",1357,[],711,711
plectron,plectrum,"['An image of {}', 'A photo of {}', '{}']",3886,[],714,714
paling,picket fence,"['An image of {}', 'A photo of {}', '{}']",3590,[],716,716
penny bank,piggy bank,"['An image of {}', 'A photo of {}', '{}']",3565,"[98592, '44321', '81721']",719,719
plane,woodworking plane,"['An image of {}', 'A photo of {}', '{}']",962,[],726,726
carpenter's plane,woodworking plane,"['An image of {}', 'A photo of {}', '{}']",3429,[],726,726
plow,plough,"['An image of {}', 'A photo of {}', '{}']",516,[],730,730
patrol wagon,police van,"['An image of {}', 'A photo of {}', '{}']",5583,"['76726', '44191', '51527']",734,734
black Maria,police van,"['An image of {}', 'A photo of {}', '{}']",4733,"['76726', '44191', '51527']",734,734
projectile,missile,"['An image of {}', 'A photo of {}', '{}']",2039,[],744,744
puck,hockey puck,"['An image of {}', 'A photo of {}', '{}']",5454,[],746,746
punchball,punching bag,"['An image of {}', 'A photo of {}', '{}']",4558,"['90356', '25260', '62925']",747,747
comfort,quilt,"['An image of {}', 'A photo of {}', '{}']",9667,"['38733', 73080, 36535]",750,750
puff,quilt,"['An image of {}', 'A photo of {}', '{}']",1367,"['38733', 73080, 36535]",750,750
radio reflector,radio telescope,"['An image of {}', 'A photo of {}', '{}']",3251,"['204', '37460', '72198']",755,755
R.V.,recreational vehicle,"['An image of {}', 'A photo of {}', '{}']",9542,"[39457, '2797', '55290']",757,757
rocker,rocking chair,"['An image of {}', 'A photo of {}', '{}']",7100,"['88805', '92731', '2282']",765,765
rubber,rubber eraser,"['An image of {}', 'A photo of {}', '{}']",2437,"['56469', 25549, '40612']",767,767
scale,weighing machine,"['An image of {}', 'A photo of {}', '{}']",7390,[],778,778
tope,stupa,"['An image of {}', 'A photo of {}', '{}']",9628,"[91388, '27041', '7991']",832,832
pigboat,submarine,"['An image of {}', 'A photo of {}', '{}']",8953,"[18846, '656', '93618']",833,833
shades,dark glasses,"['An image of {}', 'A photo of {}', '{}']",5866,"['65995', '54806', 51070]",837,837
swab,mop,"['An image of {}', 'A photo of {}', '{}']",798,[],840,840
swob,mop,"['An image of {}', 'A photo of {}', '{}']",4797,[],840,840
switch,electrical switch,"['An image of {}', 'A photo of {}', '{}']",2965,"['19605', '14385', '72519']",844,844
thrasher,threshing machine,"['An image of {}', 'A photo of {}', '{}']",7897,[],856,856
monocycle,unicycle,"['An image of {}', 'A photo of {}', '{}']",4011,"['49295', '28446', '62009']",880,880
upright,upright piano,"['An image of {}', 'A photo of {}', '{}']",748,[],881,881
notecase,wallet,"['An image of {}', 'A photo of {}', '{}']",8726,"['56838', '39830', 18913]",893,893
press,wardrobe,"['An image of {}', 'A photo of {}', '{}']",678,"['92387', '99868', '88045']",894,894
site,web site,"['An image of {}', 'A photo of {}', '{}']",4960,[],916,916
dust cover,dust jacket,"['An image of {}', 'A photo of {}', '{}']",9307,"[71110, 88600, 26889]",921,921
dust wrapper,dust jacket,"['An image of {}', 'A photo of {}', '{}']",6515,"[71110, 88600, 26889]",921,921
lolly,ice lolly,"['An image of {}', 'A photo of {}', '{}']",2470,"['91721', 14490, 79093]",929,929
lollipop,ice lolly,"['An image of {}', 'A photo of {}', '{}']",5556,"['91721', 14490, 79093]",929,929
beigel,bagel,"['An image of {}', 'A photo of {}', '{}']",9894,"['22235', 89929, 78537]",931,931
red hot,hot dog,"['An image of {}', 'A photo of {}', '{}']",2704,"['97131', '86274', '94974']",934,934
drop,cliff,"['An image of {}', 'A photo of {}', '{}']",2339,"[53003, '74336', '21440']",972,972
drop-off,cliff,"['An image of {}', 'A photo of {}', '{}']",7326,"[53003, '74336', '21440']",972,972
promontory,headland,"['An image of {}', 'A photo of {}', '{}']",1829,[],976,976
head,headland,"['An image of {}', 'A photo of {}', '{}']",276,[],976,976
vale,valley,"['An image of {}', 'A photo of {}', '{}']",3519,"[11312, 45457, '24540']",979,979
hip,rose hip,"['An image of {}', 'A photo of {}', '{}']",8896,[],989,989
